SolidityFile,GasCost,ACI,PM,EF,AZ,LI,IFF,UMA,SB,RLV,GV,NLF,NU,IP,NM,MA,EC,BV,NE,DF
0xa7e8334c29003dae7431c1168cdf127b886b2dbd_BabyBearToken.sol,0.01847858,0,3,0,0,0,0.4,0,2,0,9,0,0.357142857,6,0.333333333,0,0,0.5,2,0.131578947
0xb8d9b579c32b88714dfe69c05d87bb3165892b04_BachelorBucks.sol,0.06662098,0,20,0,4,0,0,0,0,0.85,19,0,0.413793103,18,0.421052632,0,0.104166667,0.541666667,7,0.093023256
0x4ac0905481b48afc5d026a8ce639711087c716c2_BackMeApp.sol,0.03200044,3,1,9,2,0,0,0.333333333,0.444444444,0.3,6,1,0.5,16,0.5,0.375,0,0.2,3,0.153846154
0x828539d6d54ac9b3d427113e878ae8357d1f928a_BAIRON.sol,0.01858662,0,3,0,0,0,0.4,0,2,0,9,0,0.357142857,6,0.333333333,0,0,0.5,2,0.128205128
0x0ae823c44b3485918b359329f9f77925c1478082_Balances.sol,0.00512748,3,0,2,3,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0.142857143
0x97c103d006bd363588a98659a4d3b5cab9a29348_BaliToken.sol,0.03029232,0,8,0,0,0,0.111111111,0,2.5,0.555555556,7,0,0.176470588,5,0.428571429,0,0.352941176,2.5,2,0.130434783
0xefff7c7d4270268e0d1d75f4f93f856836ac1ee8_ballotBox.sol,0.01161136,0,3,0,0,0,0,0,1,0,2,0,0.333333333,11,0.5,0.25,0,1.5,3,0.096774194
0x82f6feb8feebb573cb66c59cac46fcd5ffd891f6_Bam.sol,0.03561746,0,14,0,0,0,0.176470588,0,0,0.588235294,11,0,0.64516129,15,0.272727273,0,0.238095238,2,5,0.126865672
0x0c2dbc98581e553c4e978dd699571a5ded408a4f_Bank.sol,0.01097158,7,12,3,1,0,0,0,0,0.733333333,13,3,0,0,0,0,0,10,0,0.3125
0xC2438eF1D2F2c1427bF0A39f02dba6A4A9de4793_BankDeposit.sol,0.01036436,0,10,0,0,0,0,0,0,0.25,5,0,0,4,0.2,0,0.4,2,2,0.266666667
0x6cd6215a23890630f39400ce37e3cb5d31304b8c_BankerFarmer.sol,0.03266054,0,17,0,1,0,0.181818182,0,0,0.681818182,12,0,0,0,0.333333333,0,0.230769231,0.1,0,1
0x2Bf36e414C52a9fd81E21a0aB5742DCE750389D3_BankExToken.sol,0.02801752,0,5,6,0,0,0,0,0,0.545454545,12,0,0.055555556,11,0.25,0,0,2.5,4,0.115789474
0x1fa71916a1755181f2d82db0ee0630f28b7d2dc6_BankhadCoin.sol,0.02278578,0,0,0,0,0,0,0,0,0.833333333,7,0,0.090909091,5,0.428571429,0,0.4,0,2,0.113207547
0xf4e8acbcc927346ff23171b0ae1229d221eabd6a_BanknadToken.sol,0.02278578,0,0,0,0,0,0,0,0,0.833333333,7,0,0.090909091,5,0.428571429,0,0.4,0,2,0.113207547
0xd70c3f752feb69ecf8eb31e48b20a97d979e8e5e_BankOfEth.sol,0.0717394,3,23,0,3,0,0.452380952,0,0,0.523809524,21,1,0.429824561,28,0.095238095,0.5,0.228915663,0.282051282,7,0.149466192
0x2239df7104fd3f4a5e464e108506e76c47858a20_BankOfEthVaultBreaker.sol,0.08891036,0,28,4,2,0,0.475409836,0,1,0.426229508,34,0,0.872611465,19,0.088235294,0.75,0.280991736,0.203703704,7,0.144549763
0xf5615138a7f2605e382375fa33ab368661e017ff_BankOfStephen.sol,0.0043642,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.214285714
0x0056A6Ac46C0540b9b39BFEecae0C9482f80F809_BasicToken.sol,0.01824024,0,15,0,0,0,0.210526316,0,0,0.842105263,9,0,0.102564103,8,0.333333333,0,0.153846154,2,3,0
0x085ced3a099192b5a5647bcc01c6ca69064caf0f_batchTransfer.sol,0.00522242,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.008403361
0x0be381344989b69cefb0ecfd9dfcb53d834be2f1_BAZAN__20230515.sol,0.0184256,0,4,0,0,0,0,0,0,0.75,6,0,0.111111111,6,0.5,0,0,0,2,0.097560976
0x4650af1d35b0f10da5e68bba2b0b1582a6dcdace_BBB.sol,0.05331672,5,23,0,2,0,0.258064516,0,2,0.64516129,19,1,0.06185567,15,0.315789474,0,0.283783784,0.12,5,2
0x91F34190ffCD934115bb2Bd04C29E89362989121_BBFarmAux2.sol,0.01608372,0,0,8,0,0,0.272727273,0,0,1,0,0,0.88,0,0,0,0.25,5,0,0.282051282
0xf4a7c09a885a31755dd4cd1ce816d257fbe30dcf_BBTDonate.sol,0.0165175,0,8,0,0,0,0.272727273,0,0,0.272727273,6,0,0,0,0.333333333,0,0.214285714,0.75,0,0.166666667
0x1927342018f833174D7AEB4e4Cb476cEC7637473_BCCB.sol,0.02027184,0,6,0,0,0,0,0,0,0.833333333,7,0,0.076923077,6,0.428571429,0,0.4,3,2,0.117647059
0x6a0abbde66e54d4b22d71427076026089d2d6aa7_BCCT.sol,0.02344326,0,8,0,2,0,0.181818182,0,0,0.636363636,7,2,0.16,10,0.428571429,0.428571429,0,1,3,0.177419355
0x082731cfe45a50e43eb7af6fda41ecefd497f25c_BCE.sol,0.01570484,0,7,0,1,0,0.416666667,0,0,0.75,9,0,0.064516129,6,0.333333333,0,0.130434783,0.75,2,0.222222222
0xe2fd02741bcbf34723320fb80b77ab4ff82d7979_BCEToken.sol,0.01578244,0,5,0,0,0,0.5,0,0,0.9,8,0,0.066666667,6,0.375,0,0.125,1,2,0.192307692
0x3813f66ecc651bbba11078a65d20720826bfde6c_BCT.sol,0.0234407,0,11,0,0,0,0,0,5,1,8,0,0.095238095,6,0.375,0,0,7,2,11
0x9c864a909842e91d7f7bb4f369b2fc306ff07d2f_BDP.sol,0.02164208,0,0,0,1,0,0.210526316,0,0,0.842105263,8,0,0.052631579,12,0.375,0,0.263157895,1.5,4,0.327586207
0xacb65CC264aECB5aeB872763dcF46D34D172Da3d_BDSM.sol,0.02286624,0,0,0,0,0,0.25,0,0,0.875,7,0,0.277777778,6,0.428571429,0,0.538461538,3,2,0.16
0xc26e4380D51cbcfd4b592949A5e7A796788017c1_BDSMtoken.sol,0.02200792,0,0,0,0,0,0.25,0,0,0.875,7,0,0.277777778,6,0.428571429,0,0.538461538,3,2,0.16
